StartDate,service,taxi_lifetime_stage,coin_credited,coin_expired,coin_burn
21/11/22,Auto,SOFT_CHURN,9621,5944,3677
21/11/22,Auto,HOOK,74308,360143,-285835
14/11/22,Auto,NEW,336428,,
21/11/22,Auto,DORMANT,166427,41365,125062
14/11/22,Auto,DORMANT,133829,,
14/11/22,Auto,HANDHOLDING,85021,326636.66,-241615.66
21/11/22,Auto,UNKNOWN,127587,5361,122226
21/11/22,Auto,INACTIVE,102595,10095,92500
21/11/22,Auto,CHURN_OTB,17237,37298,-20061
21/11/22,Auto,HANDHOLDING,103445,528570.85,-425125.85
21/11/22,Auto,DETOX,28835,68699.18,-39864.18
21/11/22,Auto,NEW,528360,5408,522952
14/11/22,Auto,INACTIVE,80622,,
14/11/22,Auto,UNKNOWN,91620,2812,88808
21/11/22,Auto,SUSTENANCE,29084,135488,-106404
14/11/22,Auto,COMMITTED,56168,21416.96,34751.04
14/11/22,Auto,DETOX,20576,32566.67,-11990.67
14/11/22,Auto,HOOK,62188,103000,-40812
21/11/22,Auto,COMMITTED,63822,395946.92,-332124.92
14/11/22,Auto,SUSTENANCE,23344,16552,6792
14/11/22,Auto,CHURN_OTB,12617,11101.6,1515.4
14/11/22,Auto,SOFT_CHURN,7067,2299,4768
14/11/22,Link,DETOX,961134,152547.77,808586.23
14/11/22,Link,HOOK,1094098,415007.67,679090.33
21/11/22,Link,CHURN_OTB,171511,77726,93785
14/11/22,Link,CHURN_OTB,275006,44612.6,230393.4
14/11/22,Link,DORMANT,1181808,55165.89,1126642.11
21/11/22,Link,HOOK,662398,674225.14,-11827.14
21/11/22,Link,SOFT_CHURN,67976,9272,58704
14/11/22,Link,HANDHOLDING,605065,834900.95,-229835.95
14/11/22,Link,UNKNOWN,202006,14067,187939
21/11/22,Link,DETOX,918052,256457.22,661594.78
14/11/22,Link,COMMITTED,2893801,42250.44,2851550.56
14/11/22,Link,SUSTENANCE,438665,30813.66,407851.34
21/11/22,Link,NEW,578739,12014,566725
21/11/22,Link,INACTIVE,267357,28120,239237
14/11/22,Link,SOFT_CHURN,103690,8058,95632
21/11/22,Link,COMMITTED,1236735,496201.49,740533.51
21/11/22,Link,SUSTENANCE,238391,153969.94,84421.06
21/11/22,Link,HANDHOLDING,522072,960723.47,-438651.47
14/11/22,Link,INACTIVE,364823,7166,357657
21/11/22,Link,DORMANT,651111,94556.73,556554.27
21/11/22,Link,UNKNOWN,140333,13548,126785
14/11/22,Link,NEW,832886,940,831946
28/11/22,Auto,HANDHOLDING,102341,764435,-662094
28/11/22,Auto,INACTIVE,108796,16139,92657
28/11/22,Auto,DETOX,27390,107070.25,-79680.25
28/11/22,Auto,DORMANT,173605,62455,111150
28/11/22,Auto,NEW,592978,8232,584746
28/11/22,Auto,CHURN_OTB,16654,57927,-41273
28/11/22,Auto,UNKNOWN,123256,8339,114917
28/11/22,Auto,SUSTENANCE,32466,169757.96,-137291.96
28/11/22,Auto,HOOK,76668,449897.66,-373229.66
28/11/22,Auto,COMMITTED,78917,324109.08,-245192.08
28/11/22,Auto,SOFT_CHURN,10519,15239,-4720
28/11/22,Link,DORMANT,757057,141938,615119
28/11/22,Link,INACTIVE,306173,41176,264997
28/11/22,Link,SOFT_CHURN,84670,26720,57950
28/11/22,Link,UNKNOWN,161570,15165,146405
28/11/22,Link,SUSTENANCE,214272,154396.56,59875.44
28/11/22,Link,DETOX,895338,280874.72,614463.28
28/11/22,Link,HOOK,583316,536932.23,46383.77
28/11/22,Link,COMMITTED,847327,362758.12,484568.88
28/11/22,Link,HANDHOLDING,554548,769683.96,-215135.96
28/11/22,Link,CHURN_OTB,194373,73988.5,120384.5
28/11/22,Link,NEW,741528,18942.79,722585.21
