time_level,total_orders,total_captain,fraud_captain,fraud_captains_orders,incentive_orders,incentive_amount,credited_amount
2022-12-19,5815059,444841,2943,54211,2965,23839,1572971.78
2022-12-12,5811120,430847,2972,61642,3254,26914,1933120.272
2022-12-05,5641735,419509,2825,60870,3170,27738,2012258.87
2022-11-28,5740838,434425,2698,58865,3164,29276,2007600.225
2022-11-21,5602664,440964,2679,55311,2979,26909,1772319.189
2022-11-14,5638883,436582,2689,50064,2952,27315,1472528.104
2022-11-07,5434994,423777,2657,48105,3098,28158,1435860.904
2022-10-31,5229771,412705,2402,40797,2807,24824,1286664.555
2022-10-24,4100551,365981,2206,40486,2213,19650,1402866.831
2022-10-17,5519496,417785,2696,55012,3163,29790,1942492.118
2022-10-10,5559194,419382,2937,57674,3353,31847,1850821.05
2022-10-03,4788042,386082,2558,44499,2654,24330,1729158.903
2023-03-20,5334222,421554,2124,36705,3631,29802,1035854.851
2023-03-13,5634719,421240,2269,41900,4068,32971,1131399.897
2023-03-06,5343264,403492,2324,43026,4198,33998,1269732.695
2023-02-27,5873616,431262,2579,48582,4513,35990,1646500.841
2023-02-20,5827884,434819,2588,50083,4496,35015,1655067.137
2023-02-13,5721947,427309,2838,51747,4784,39627,1635878.718
2023-02-06,5960368,430038,2926,59447,4800,38711,1938276.961
2023-01-30,5843379,424996,2858,61767,4488,36019,2042995.007
2023-01-23,5402057,411731,3039,61025,4191,33124,1821792.413
2023-01-16,5187101,392171,2731,59342,3718,28884,1795547.199
2023-01-09,5421738,420994,2939,62749,3602,28369,2056834.628
2023-01-02,5680086,438121,2902,58130,3599,26912,1889341.542
2022-12-26,5444844,440524,2701,48185,3247,24195,1497909.469
