time_level,total_orders,total_customer,fraud_customer,fraud_customer_orders,discounted_orders,discount,coin_credited,coin_utilized,coin_expired
2022-12-19,5812417,2784249,165,467,158,1345,72,297,62
2022-12-12,5808238,2802748,195,567,199,1800,254,277,107
2022-12-05,5638506,2748267,175,512,143,1414,516,427,119
2022-11-28,5738617,2736700,173,485,153,1668,374,260,239
2022-11-21,5600555,2633003,164,382,125,1200,369,271,403
2022-11-14,5636437,2647073,175,441,121,1285,92,21,30
2023-03-20,5331923,2636557,288,586,324,5297,1340,376,378
2023-03-13,5632327,2736823,441,798,399,6026,1830,23,118
2023-03-06,5340797,2688015,325,629,288,4890,1077,65,80
2023-02-27,5870934,2811664,162,379,122,1466,329,120,55
2023-02-20,5825493,2794369,135,394,134,1299,163,30,5
2023-02-13,5718383,2784105,126,338,110,1287,423,56,77
2023-02-06,5956803,2867544,133,326,92,910,85,0,102
2023-01-30,5840191,2804659,140,321,91,878,101,50,117
2023-01-23,5399276,2708799,131,331,96,930,194,30,20
2023-01-16,5184353,2561013,157,385,97,929,47,33,19
2023-01-09,5418002,2666266,143,344,112,1095,65,0,80
2023-01-02,5676811,2701862,156,370,105,1025,104,0,44
2022-12-26,5442005,2668585,125,317,102,1084,158,0,18
